delta,time_es
0.1,40383.2
0.4413793103448276,38958.6
0.7827586206896552,40760.8
1.124137931034483,38832.8
1.4655172413793105,38765.0
1.806896551724138,41388.6
2.148275862068966,39937.2
2.4896551724137934,38625.4
2.831034482758621,39178.0
3.1724137931034484,38972.0
3.513793103448276,41201.4
3.855172413793104,38546.2
4.196551724137931,38910.0
4.537931034482758,41118.8
4.879310344827586,39277.8
5.220689655172413,39174.0
5.562068965517241,38757.4
5.903448275862069,38944.8
6.244827586206896,39531.6
6.586206896551724,39756.6
6.927586206896551,39240.8
7.268965517241379,38944.2
7.610344827586207,39587.2
7.951724137931034,40199.6
8.293103448275863,38556.0
8.63448275862069,38717.4
8.975862068965517,39717.4
9.317241379310344,39478.4
9.658620689655173,39106.2
10.0,38740.0
